gene,class,importance,variance,variance_rank,n_cells_used,importance_rank
MT-ND4,AKI,0.31075054,8973.121805769077,10,300,1
MT-ND3,AKI,0.29950064,45271.01237835592,5,300,2
SPP1,AKI,0.29118288,2306.0256409340877,18,300,3
MT-CO1,AKI,0.2536211,49518.24244486595,3,300,4
WFDC2,AKI,0.16479084,1778.5943794824614,20,300,5
MT-ND2,AKI,0.15142064,4815.301882127371,14,300,6
MT-ATP6,AKI,0.15121257,10270.968051788057,9,300,7
RPS4Y1,AKI,0.13494322,4.333792729805773,575,300,8
MALAT1,AKI,0.13152559,46529.8247294715,4,300,9
MT-ND1,AKI,0.12719879,3438.168689780503,17,300,10
MT-CO2,AKI,0.099578194,42881.031203377366,6,300,11
MT-CO3,AKI,0.09545629,20839.347750081604,7,300,12
RPS4X,AKI,0.08965624,205.9631854113784,63,300,13
MT-ND4L,AKI,0.083559126,853.1656551799401,24,300,14
RACK1,AKI,0.07875358,30.211613985010352,192,300,15
SERF2,AKI,0.07749204,126.93977310068199,83,300,16
MT-ND5,AKI,0.077241786,474.25996956369704,33,300,17
MT-CYB,AKI,0.07325351,6546.353288793684,12,300,18
RPS29,AKI,0.072952874,48.83907390331214,147,300,19
DEFB1,AKI,0.07283426,8836.840528217552,11,300,20
GSTP1,AKI,0.06823397,124.54930928138268,86,300,21
TXNIP,AKI,0.06365465,20.2449585637548,247,300,22
RPL37,AKI,0.062987186,76.94736184850994,117,300,23
IFITM3,AKI,0.059849314,17.774303638124245,261,300,24
RPS19,AKI,0.05696378,153.52229226365614,74,300,25
GPX4,AKI,0.05646074,23.898731780742125,223,300,26
RPL15,AKI,0.05594382,76.76826319927655,118,300,27
RPS26,AKI,0.05584553,74.89490457978025,121,300,28
RPL35,AKI,0.055461742,63.01067410412386,136,300,29
RPL37A,AKI,0.054608796,29.278041413963443,202,300,30
MT-ATP8,AKI,0.05440054,12.249485973776942,325,300,31
RPS18,AKI,0.051577874,355.01365862768347,40,300,32
RPS27,AKI,0.051402625,257.339470436032,53,300,33
SERPING1,AKI,0.05037031,2.7695536466963446,742,300,34
MTRNR2L12,AKI,0.04983233,6.518999503834998,463,300,35
RPS14,AKI,0.049555995,128.0263849866529,82,300,36
HLA-B,AKI,0.049234353,38.98807349657869,168,300,37
LDHB,AKI,0.04875234,41.758129311824575,160,300,38
RPS28,AKI,0.04855955,296.54589775111333,47,300,39
MT1G,AKI,0.046720803,2238.9498609937555,19,300,40
RPL41,AKI,0.046708163,1071.652569960694,23,300,41
RPLP0,AKI,0.044201642,12.694511935906146,315,300,42
NEAT1,AKI,0.04419511,46.8878419643915,150,300,43
FAU,AKI,0.043388247,92.73601170852339,105,300,44
DBI,AKI,0.042645648,18.682100441617575,257,300,45
RPL29,AKI,0.042531952,102.66623243783505,100,300,46
RPLP1,AKI,0.040508315,412.0605448037033,36,300,47
NDUFA4,AKI,0.03906078,124.4510654839503,88,300,48
PPIA,AKI,0.038848154,44.69411667945336,155,300,49
RPL10A,AKI,0.0388361,33.4534660363197,182,300,50
ATP1B1,AKI,0.038735896,508.28100592681096,30,300,51
ITM2B,AKI,0.038557116,204.10151335543227,64,300,52
COX6A1,AKI,0.038121007,31.402185224269694,188,300,53
XIST,AKI,0.037756942,4.388122820151314,574,300,54
IFITM2,AKI,0.037598904,4.16914948860623,591,300,55
PKM,AKI,0.03709272,10.895610144789844,356,300,56
RPS7,AKI,0.03707488,75.23656576475125,120,300,57
RPS10,AKI,0.036807634,30.18163289443128,193,300,58
ACTG1,AKI,0.03647051,126.57777105061743,84,300,59
PPIB,AKI,0.036294695,5.325920778223576,511,300,60
ITGB6,AKI,0.036232103,3.675248239939443,634,300,61
UBC,AKI,0.035543073,30.79456438947431,189,300,62
CD63,AKI,0.035182793,38.12166441563539,173,300,63
C4orf48,AKI,0.034727246,2.78840700651905,738,300,64
RPL27A,AKI,0.03472483,13.369330434390804,308,300,65
NDUFS5,AKI,0.03425642,15.989725133383484,279,300,66
RPL21,AKI,0.0341675,52.02910329672228,144,300,67
RPS25,AKI,0.033700876,81.1405553425765,111,300,68
FTL,AKI,0.033425033,3516.5657692851364,16,300,69
RPS3,AKI,0.033252977,102.69293829972955,99,300,70
NACA,AKI,0.032700673,46.41356171411054,152,300,71
ATP5ME,AKI,0.032253195,20.476131966260063,246,300,72
RPS9,AKI,0.03218391,79.21457372287585,115,300,73
HIF1A,AKI,0.031890716,1.6055919764920783,1033,300,74
CHCHD2,AKI,0.031738203,23.535311293933994,226,300,75
MRPL41,AKI,0.031590097,5.398052612547536,506,300,76
CYSTM1,AKI,0.031469442,29.176527518341963,203,300,77
MT1H,AKI,0.03143459,80.91455229528887,112,300,78
PEBP1,AKI,0.03136011,38.813454307484946,170,300,79
ACTB,AKI,0.031229544,192.19683241986317,65,300,80
ATP5MC3,AKI,0.031150423,29.56668185655874,196,300,81
TOMM7,AKI,0.03113653,14.152270531281392,296,300,82
RPL13A,AKI,0.03072169,8.401324759326567,410,300,83
RBM3,AKI,0.030535033,1.308846443560641,1178,300,84
B2M,AKI,0.030309292,607.982716502998,28,300,85
S100A6,AKI,0.030140571,1516.1200436841198,21,300,86
SUB1,AKI,0.030061744,9.42884889467016,390,300,87
RPL7A,AKI,0.029844832,144.3602323465119,78,300,88
EIF4G2,AKI,0.029804703,2.6354945379457906,768,300,89
PPIC,AKI,0.029753095,0.9408469821636385,1449,300,90
RPL11,AKI,0.029612644,237.9918493959716,57,300,91
NDUFA13,AKI,0.02955662,13.837916889297755,303,300,92
RPL32,AKI,0.029459823,229.0451152497398,58,300,93
SOD2,AKI,0.029356614,11.282559608401135,346,300,94
RPL28,AKI,0.02931743,215.28088059299677,62,300,95
HINT1,AKI,0.02920187,37.50909821348206,174,300,96
RPL12,AKI,0.029053876,112.57243511249867,93,300,97
RPL39,AKI,0.028873902,359.68584529686774,38,300,98
TMSB10,AKI,0.028744176,375.88867625011227,37,300,99
HNRNPH1,AKI,0.028493544,6.108975829530736,478,300,100
RSRP1,AKI,0.02834998,0.8250762967171377,1588,300,101
RPS23,AKI,0.028250325,264.8999088317167,52,300,102
ATP1A1,AKI,0.028146716,103.88951013544589,97,300,103
RPL26,AKI,0.027858132,176.0467765880664,66,300,104
N4BP2L2,AKI,0.027847659,3.033457498048423,701,300,105
CEBPD,AKI,0.027618956,14.3647768760512,292,300,106
PFN1,AKI,0.02756005,27.362814952445518,208,300,107
FIS1,AKI,0.027440373,5.54677731823063,498,300,108
RARRES3,AKI,0.026977057,5.319625577351457,513,300,109
